Subject	Sex	Group	Age	Date	Day	Session	Phase	Condition	left_cup	trial_number	food_side	chose_side	correct	Comment		Chosen_distractor	switching_mistakes				
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	1	l	l	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	2	r	l	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	3	r	r	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	4	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	5	r	r	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	6	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	7	l	l	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	8	r	l	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	9	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	10	l	l	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	11	r	l	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	12	r	r	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	13	r	r	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	14	r	r	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	15	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	16	r	r	1								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	17	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	18	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	19	r	l	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	20	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	21	r	l	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	22	r	l	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	23	l	r	0								
William	m	young chimps	18	31/10/2018	20	1	pretest		pink	24	l	l	1								
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	1	l	l	1	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	2	r	l	0	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	3	r	r	1	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	4	l	r	0	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	5	r	r	1	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	6	l	r	0	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	7	l	l	1	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	8	r	l	0	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	9	l	l	1	pink cup was always baited							
Jane	f	young chimps	14	31/10/2018	20	1	pretest		pink	10	l	l	1	pink cup was always baited							
