id,age,agecat,sex,order,boxtype,trialtype,order2,trialno,side,response,correct
14,5,five,1,penfirst,blue-right,pen,1,1,L,R,1
14,5,five,1,penfirst,blue-right,pen,1,2,R,L,1
14,5,five,1,penfirst,blue-right,pen,1,3,R,L,1
14,5,five,1,penfirst,blue-right,pen,1,4,L,R,1
14,5,five,1,penfirst,blue-right,pen,1,5,R,L,1
14,5,five,1,penfirst,blue-right,pen,1,6,L,R,1
14,5,five,1,penfirst,blue-right,pen,1,7,L,R,1
14,5,five,1,penfirst,blue-right,pen,1,8,R,L,1
14,5,five,1,penfirst,blue-right,sticker,2,1,R,R,1
14,5,five,1,penfirst,blue-right,sticker,2,2,L,L,1
14,5,five,1,penfirst,blue-right,sticker,2,3,L,L,1
14,5,five,1,penfirst,blue-right,sticker,2,4,R,R,1
14,5,five,1,penfirst,blue-right,sticker,2,5,R,R,1
14,5,five,1,penfirst,blue-right,sticker,2,6,L,L,1
14,5,five,1,penfirst,blue-right,sticker,2,7,R,R,1
14,5,five,1,penfirst,blue-right,sticker,2,8,R,R,1
15,4,four,1,penfirst,blue-right,pen,1,1,R,L,1
15,4,four,1,penfirst,blue-right,pen,1,2,L,R,1
15,4,four,1,penfirst,blue-right,pen,1,3,L,R,1
15,4,four,1,penfirst,blue-right,pen,1,4,R,L,1
15,4,four,1,penfirst,blue-right,pen,1,5,L,R,1
15,4,four,1,penfirst,blue-right,pen,1,6,R,R,0
15,4,four,1,penfirst,blue-right,pen,1,7,R,L,1
15,4,four,1,penfirst,blue-right,pen,1,8,L,R,1
15,4,four,1,penfirst,blue-right,sticker,2,1,L,L,1
15,4,four,1,penfirst,blue-right,sticker,2,2,R,R,1
15,4,four,1,penfirst,blue-right,sticker,2,3,R,L,0
15,4,four,1,penfirst,blue-right,sticker,2,4,L,L,1
15,4,four,1,penfirst,blue-right,sticker,2,5,L,L,1
15,4,four,1,penfirst,blue-right,sticker,2,6,R,R,1
15,4,four,1,penfirst,blue-right,sticker,2,7,L,L,1
15,4,four,1,penfirst,blue-right,sticker,2,8,L,L,1
16,4,four,2,stickerfirst,blue-right,pen,2,1,L,R,1
16,4,four,2,stickerfirst,blue-right,pen,2,2,R,L,1
16,4,four,2,stickerfirst,blue-right,pen,2,3,R,L,1
16,4,four,2,stickerfirst,blue-right,pen,2,4,L,R,1
16,4,four,2,stickerfirst,blue-right,pen,2,5,L,R,1
16,4,four,2,stickerfirst,blue-right,pen,2,6,R,R,0
16,4,four,2,stickerfirst,blue-right,pen,2,7,L,L,0
16,4,four,2,stickerfirst,blue-right,pen,2,8,L,L,0
16,4,four,2,stickerfirst,blue-right,sticker,1,1,R,R,1
16,4,four,2,stickerfirst,blue-right,sticker,1,2,L,L,1
16,4,four,2,stickerfirst,blue-right,sticker,1,3,L,R,0
16,4,four,2,stickerfirst,blue-right,sticker,1,4,R,R,1
16,4,four,2,stickerfirst,blue-right,sticker,1,5,L,L,1
16,4,four,2,stickerfirst,blue-right,sticker,1,6,R,R,1
16,4,four,2,stickerfirst,blue-right,sticker,1,7,R,R,1
16,4,four,2,stickerfirst,blue-right,sticker,1,8,L,L,1
17,5,five,2,penfirst,blue-right,pen,1,1,L,R,1
17,5,five,2,penfirst,blue-right,pen,1,2,L,R,1
17,5,five,2,penfirst,blue-right,pen,1,3,R,L,1
17,5,five,2,penfirst,blue-right,pen,1,4,L,R,1
17,5,five,2,penfirst,blue-right,pen,1,5,R,L,1
17,5,five,2,penfirst,blue-right,pen,1,6,L,R,1
17,5,five,2,penfirst,blue-right,pen,1,7,R,L,1
17,5,five,2,penfirst,blue-right,pen,1,8,R,L,1
17,5,five,2,penfirst,blue-right,sticker,2,1,R,R,1
17,5,five,2,penfirst,blue-right,sticker,2,2,R,R,1
17,5,five,2,penfirst,blue-right,sticker,2,3,L,L,1
17,5,five,2,penfirst,blue-right,sticker,2,4,L,L,1
17,5,five,2,penfirst,blue-right,sticker,2,5,R,R,1
17,5,five,2,penfirst,blue-right,sticker,2,6,R,R,1
17,5,five,2,penfirst,blue-right,sticker,2,7,L,L,1
17,5,five,2,penfirst,blue-right,sticker,2,8,R,R,1
18,3,three,1,stickerfirst,blue-right,pen,2,1,R,L,1
18,3,three,1,stickerfirst,blue-right,pen,2,2,L,L,0
18,3,three,1,stickerfirst,blue-right,pen,2,3,L,L,0
18,3,three,1,stickerfirst,blue-right,pen,2,4,R,R,0
18,3,three,1,stickerfirst,blue-right,pen,2,5,R,L,1
